mode,case,round,loops,microseconds
off,constant,0,24,80981
on,constant,0,24,75415
off,nested,0,12,139573
on,nested,0,12,118536
off,numeric,0,24,89815
on,numeric,0,24,73614
off,getter,0,8,108087
on,getter,0,8,116274
off,class_map,0,3,761995
on,class_map,0,3,561635
off,block_map,0,3,2182728
on,block_map,0,3,1706386
off,browser,0,1,280293
on,browser,0,1,251455
on,constant,1,24,56920
off,constant,1,24,142184
on,nested,1,12,126444
off,nested,1,12,160618
on,numeric,1,24,83711
off,numeric,1,24,175962
on,getter,1,8,143050
off,getter,1,8,99164
on,class_map,1,3,451755
off,class_map,1,3,421577
on,block_map,1,3,1249177
off,block_map,1,3,1457124
on,browser,1,1,310004
off,browser,1,1,224875
off,constant,2,24,48800
on,constant,2,24,42888
off,nested,2,12,70761
on,nested,2,12,67249
off,numeric,2,24,50149
on,numeric,2,24,43205
off,getter,2,8,75500
on,getter,2,8,70198
off,class_map,2,3,341550
on,class_map,2,3,307425
off,block_map,2,3,1351639
on,block_map,2,3,1296432
off,browser,2,1,187749
on,browser,2,1,206836
on,constant,3,24,39296
off,constant,3,24,48063
on,nested,3,12,67557
off,nested,3,12,71358
on,numeric,3,24,45088
off,numeric,3,24,47202
on,getter,3,8,74050
off,getter,3,8,61834
on,class_map,3,3,321162
off,class_map,3,3,353606
on,block_map,3,3,1164807
off,block_map,3,3,1228845
on,browser,3,1,211802
off,browser,3,1,173707
off,constant,4,24,38889
on,constant,4,24,37731
off,nested,4,12,65308
on,nested,4,12,60916
off,numeric,4,24,40674
on,numeric,4,24,41836
off,getter,4,8,67155
on,getter,4,8,64116
off,class_map,4,3,301845
on,class_map,4,3,341602
off,block_map,4,3,1004179
on,block_map,4,3,1039361
off,browser,4,1,178096
on,browser,4,1,339518
on,constant,5,24,53176
off,constant,5,24,62295
on,nested,5,12,86206
off,nested,5,12,98135
on,numeric,5,24,54494
off,numeric,5,24,58730
on,getter,5,8,97547
off,getter,5,8,109569
on,class_map,5,3,398691
off,class_map,5,3,419252
on,block_map,5,3,1339377
off,block_map,5,3,1160026
on,browser,5,1,162971
off,browser,5,1,164480
off,constant,6,24,62699
on,constant,6,24,41864
off,nested,6,12,70807
on,nested,6,12,71553
off,numeric,6,24,52906
on,numeric,6,24,46662
off,getter,6,8,65306
on,getter,6,8,84179
off,class_map,6,3,293668
on,class_map,6,3,304581
off,block_map,6,3,1182339
on,block_map,6,3,1160588
off,browser,6,1,180257
on,browser,6,1,186879
on,constant,7,24,38447
off,constant,7,24,44753
on,nested,7,12,64727
off,nested,7,12,71066
on,numeric,7,24,45341
off,numeric,7,24,48011
on,getter,7,8,70001
off,getter,7,8,69925
on,class_map,7,3,298587
off,class_map,7,3,316347
