mode,case,sample,loops,microseconds
C,class_map,0,3,260553
C_native,class_map,0,3,253807
A_all,class_map,0,3,243242
A_guard,class_map,0,3,231260
B_naive,class_map,0,3,225624
B_guard,class_map,0,3,239287
C_native,class_map,1,3,281148
A_all,class_map,1,3,233375
A_guard,class_map,1,3,236602
B_naive,class_map,1,3,237831
B_guard,class_map,1,3,272445
C,class_map,1,3,288408
A_all,class_map,2,3,242345
A_guard,class_map,2,3,246097
B_naive,class_map,2,3,238640
B_guard,class_map,2,3,221453
C,class_map,2,3,292173
C_native,class_map,2,3,272706
A_guard,class_map,3,3,260548
B_naive,class_map,3,3,235303
B_guard,class_map,3,3,209271
C,class_map,3,3,263651
C_native,class_map,3,3,294743
A_all,class_map,3,3,230228
B_naive,class_map,4,3,284555
B_guard,class_map,4,3,229430
C,class_map,4,3,340483
C_native,class_map,4,3,306000
A_all,class_map,4,3,252256
A_guard,class_map,4,3,258660
B_guard,class_map,5,3,235296
C,class_map,5,3,276889
C_native,class_map,5,3,259942
A_all,class_map,5,3,253308
A_guard,class_map,5,3,250313
B_naive,class_map,5,3,223482
C,class_map,6,3,260204
C_native,class_map,6,3,252295
A_all,class_map,6,3,229757
A_guard,class_map,6,3,246443
B_naive,class_map,6,3,244078
B_guard,class_map,6,3,232124
C_native,class_map,7,3,297650
A_all,class_map,7,3,257433
A_guard,class_map,7,3,265573
B_naive,class_map,7,3,242045
B_guard,class_map,7,3,215282
C,class_map,7,3,309858
A_all,class_map,8,3,230244
A_guard,class_map,8,3,348415
B_naive,class_map,8,3,278709
B_guard,class_map,8,3,220240
C,class_map,8,3,291013
C_native,class_map,8,3,285190
A_guard,class_map,9,3,267055
B_naive,class_map,9,3,237477
B_guard,class_map,9,3,214890
C,class_map,9,3,268301
C_native,class_map,9,3,275861
A_all,class_map,9,3,249024
B_naive,class_map,10,3,260555
B_guard,class_map,10,3,243325
C,class_map,10,3,330467
C_native,class_map,10,3,301434
A_all,class_map,10,3,264056
A_guard,class_map,10,3,247797
B_guard,class_map,11,3,241054
C,class_map,11,3,273854
C_native,class_map,11,3,281943
A_all,class_map,11,3,239305
A_guard,class_map,11,3,247718
B_naive,class_map,11,3,245897
C,class_map,12,3,349932
C_native,class_map,12,3,367860
A_all,class_map,12,3,327603
A_guard,class_map,12,3,422468
B_naive,class_map,12,3,325075
B_guard,class_map,12,3,318451
C_native,class_map,13,3,289502
A_all,class_map,13,3,234230
A_guard,class_map,13,3,252905
B_naive,class_map,13,3,233923
B_guard,class_map,13,3,281097
C,class_map,13,3,308776
A_all,class_map,14,3,262079
A_guard,class_map,14,3,400389
B_naive,class_map,14,3,290863
B_guard,class_map,14,3,258744
C,class_map,14,3,310925
C_native,class_map,14,3,360156
A_guard,class_map,15,3,374587
B_naive,class_map,15,3,268893
B_guard,class_map,15,3,252600
C,class_map,15,3,361203
C_native,class_map,15,3,284474
A_all,class_map,15,3,247464
B_naive,class_map,16,3,255672
B_guard,class_map,16,3,233506
C,class_map,16,3,287512
C_native,class_map,16,3,290603
A_all,class_map,16,3,243844
A_guard,class_map,16,3,289355
B_guard,class_map,17,3,244914
C,class_map,17,3,298672
C_native,class_map,17,3,302342
A_all,class_map,17,3,261638
A_guard,class_map,17,3,302268
B_naive,class_map,17,3,252280
C,class_map,18,3,281705
C_native,class_map,18,3,310250
A_all,class_map,18,3,269133
A_guard,class_map,18,3,268533
B_naive,class_map,18,3,261251
B_guard,class_map,18,3,441409
C_native,class_map,19,3,298142
A_all,class_map,19,3,243617
A_guard,class_map,19,3,271449
B_naive,class_map,19,3,287272
B_guard,class_map,19,3,253767
C,class_map,19,3,312677
A_all,class_map,20,3,255382
A_guard,class_map,20,3,284706
B_naive,class_map,20,3,253665
B_guard,class_map,20,3,223724
C,class_map,20,3,283557
C_native,class_map,20,3,276317
A_guard,class_map,21,3,263413
B_naive,class_map,21,3,254482
B_guard,class_map,21,3,222954
C,class_map,21,3,291260
C_native,class_map,21,3,270316
A_all,class_map,21,3,242418
B_naive,class_map,22,3,225747
B_guard,class_map,22,3,215324
C,class_map,22,3,280535
C_native,class_map,22,3,253729
A_all,class_map,22,3,226584
A_guard,class_map,22,3,565044
B_guard,class_map,23,3,321373
C,class_map,23,3,297986
C_native,class_map,23,3,263360
A_all,class_map,23,3,382213
A_guard,class_map,23,3,270620
B_naive,class_map,23,3,244289
C,class_map,24,3,270173
C_native,class_map,24,3,341371
A_all,class_map,24,3,252706
A_guard,class_map,24,3,490713
B_naive,class_map,24,3,360257
B_guard,class_map,24,3,274594
C_native,class_map,25,3,375982
A_all,class_map,25,3,310267
A_guard,class_map,25,3,289546
B_naive,class_map,25,3,538159
B_guard,class_map,25,3,233220
C,class_map,25,3,297286
A_all,class_map,26,3,282613
A_guard,class_map,26,3,254042
B_naive,class_map,26,3,230383
B_guard,class_map,26,3,213106
C,class_map,26,3,266175
C_native,class_map,26,3,366178
A_guard,class_map,27,3,236867
B_naive,class_map,27,3,227696
B_guard,class_map,27,3,216641
C,class_map,27,3,271988
C_native,class_map,27,3,314396
A_all,class_map,27,3,272835
B_naive,class_map,28,3,281941
B_guard,class_map,28,3,230786
C,class_map,28,3,288592
C_native,class_map,28,3,274148
A_all,class_map,28,3,260032
A_guard,class_map,28,3,279208
B_guard,class_map,29,3,251827
C,class_map,29,3,549643
C_native,class_map,29,3,358050
A_all,class_map,29,3,350643
A_guard,class_map,29,3,310521
B_naive,class_map,29,3,274207
C,class_map,30,3,270549
C_native,class_map,30,3,281176
A_all,class_map,30,3,234591
A_guard,class_map,30,3,242663
B_naive,class_map,30,3,276117
B_guard,class_map,30,3,318140
C_native,class_map,31,3,257740
A_all,class_map,31,3,235312
A_guard,class_map,31,3,237208
B_naive,class_map,31,3,233751
B_guard,class_map,31,3,226920
C,class_map,31,3,282172
A_all,class_map,32,3,245559
A_guard,class_map,32,3,233088
B_naive,class_map,32,3,227187
B_guard,class_map,32,3,242737
C,class_map,32,3,311272
C_native,class_map,32,3,260333
A_guard,class_map,33,3,236193
B_naive,class_map,33,3,226793
B_guard,class_map,33,3,212715
C,class_map,33,3,286478
C_native,class_map,33,3,273399
A_all,class_map,33,3,288032
B_naive,class_map,34,3,256394
B_guard,class_map,34,3,222153
C,class_map,34,3,265523
C_native,class_map,34,3,258235
A_all,class_map,34,3,224255
A_guard,class_map,34,3,235477
B_guard,class_map,35,3,274364
C,class_map,35,3,359977
C_native,class_map,35,3,315694
A_all,class_map,35,3,236053
A_guard,class_map,35,3,245036
B_naive,class_map,35,3,236785
