mode,case,round,loops,microseconds
off,constant,0,24,129005
on,constant,0,24,77634
off,nested,0,12,132765
on,nested,0,12,335215
off,numeric,0,24,135349
on,numeric,0,24,68591
off,getter,0,8,133745
on,getter,0,8,147670
off,class_map,0,3,924630
on,class_map,0,3,1122299
off,block_map,0,3,4167538
on,block_map,0,3,3278498
off,browser,0,1,377555
on,browser,0,1,357252
on,constant,1,24,112772
off,constant,1,24,137221
on,nested,1,12,279537
off,nested,1,12,207914
on,numeric,1,24,135958
off,numeric,1,24,137054
on,getter,1,8,310634
off,getter,1,8,273754
on,class_map,1,3,1531971
off,class_map,1,3,1526899
on,block_map,1,3,3332387
off,block_map,1,3,2573776
on,browser,1,1,476829
off,browser,1,1,454461
off,constant,2,24,113971
on,constant,2,24,84300
off,nested,2,12,148969
on,nested,2,12,116458
off,numeric,2,24,166988
on,numeric,2,24,112941
off,getter,2,8,194054
on,getter,2,8,182640
off,class_map,2,3,1496699
on,class_map,2,3,764086
off,block_map,2,3,2131297
on,block_map,2,3,1801828
off,browser,2,1,207842
on,browser,2,1,245107
on,constant,3,24,48037
off,constant,3,24,57076
on,nested,3,12,76897
off,nested,3,12,75953
on,numeric,3,24,53423
off,numeric,3,24,66634
on,getter,3,8,84090
off,getter,3,8,113191
on,class_map,3,3,489279
off,class_map,3,3,455337
on,block_map,3,3,1738426
off,block_map,3,3,1733811
on,browser,3,1,270626
off,browser,3,1,270977
off,constant,4,24,55694
on,constant,4,24,37899
off,nested,4,12,107096
on,nested,4,12,104900
off,numeric,4,24,65262
on,numeric,4,24,55330
off,getter,4,8,77327
on,getter,4,8,90714
off,class_map,4,3,481765
on,class_map,4,3,439722
off,block_map,4,3,1648532
on,block_map,4,3,1716479
off,browser,4,1,368895
on,browser,4,1,360082
on,constant,5,24,60139
off,constant,5,24,68833
on,nested,5,12,75553
off,nested,5,12,126478
on,numeric,5,24,70159
off,numeric,5,24,123821
on,getter,5,8,173715
off,getter,5,8,171452
on,class_map,5,3,740645
off,class_map,5,3,572785
on,block_map,5,3,1813942
off,block_map,5,3,1623045
on,browser,5,1,246181
off,browser,5,1,216087
off,constant,6,24,58109
on,constant,6,24,49304
off,nested,6,12,80516
on,nested,6,12,84887
off,numeric,6,24,58311
on,numeric,6,24,46159
off,getter,6,8,71090
on,getter,6,8,75447
off,class_map,6,3,388792
on,class_map,6,3,425455
off,block_map,6,3,1487856
on,block_map,6,3,1802684
off,browser,6,1,372553
on,browser,6,1,361520
on,constant,7,24,82523
off,constant,7,24,115165
on,nested,7,12,139466
off,nested,7,12,192439
on,numeric,7,24,122299
off,numeric,7,24,149058
on,getter,7,8,179332
off,getter,7,8,119838
on,class_map,7,3,402588
off,class_map,7,3,359555
on,block_map,7,3,1268344
