mode,case,sample,loops,microseconds
C,constant,0,40,64365
C_native,constant,0,40,69578
A_all,constant,0,40,47398
A_guard,constant,0,40,50124
B_naive,constant,0,40,17210
B_guard,constant,0,40,17333
C,getter,0,8,60031
C_native,getter,0,8,53405
A_all,getter,0,8,51800
A_guard,getter,0,8,50393
B_naive,getter,0,8,44279
B_guard,getter,0,8,43411
C,arithmetic,0,8,58309
C_native,arithmetic,0,8,58250
A_all,arithmetic,0,8,58828
A_guard,arithmetic,0,8,61699
B_naive,arithmetic,0,8,55016
B_guard,arithmetic,0,8,61377
C,nested,0,15,94727
C_native,nested,0,15,76866
A_all,nested,0,15,60512
A_guard,nested,0,15,68925
B_naive,nested,0,15,56045
B_guard,nested,0,15,58028
C,class_map,0,1,98923
C_native,class_map,0,1,86918
A_all,class_map,0,1,81664
A_guard,class_map,0,1,84767
B_naive,class_map,0,1,82018
B_guard,class_map,0,1,76384
C,block_map,0,1,300622
C_native,block_map,0,1,282916
A_all,block_map,0,1,282628
A_guard,block_map,0,1,312423
B_naive,block_map,0,1,422491
B_guard,block_map,0,1,296862
C,browser,0,1,154853
C_native,browser,0,1,145911
A_all,browser,0,1,157785
A_guard,browser,0,1,155753
B_naive,browser,0,1,164042
B_guard,browser,0,1,144847
C_native,constant,1,40,61719
A_all,constant,1,40,47508
A_guard,constant,1,40,49411
B_naive,constant,1,40,17598
B_guard,constant,1,40,17643
C,constant,1,40,65694
C_native,getter,1,8,59915
A_all,getter,1,8,49962
A_guard,getter,1,8,53968
B_naive,getter,1,8,45640
B_guard,getter,1,8,51590
C,getter,1,8,53445
C_native,arithmetic,1,8,71130
A_all,arithmetic,1,8,62480
A_guard,arithmetic,1,8,57185
B_naive,arithmetic,1,8,55286
B_guard,arithmetic,1,8,55227
C,arithmetic,1,8,59672
C_native,nested,1,15,72769
A_all,nested,1,15,54035
A_guard,nested,1,15,65315
B_naive,nested,1,15,62422
B_guard,nested,1,15,66874
C,nested,1,15,107782
C_native,class_map,1,1,121784
A_all,class_map,1,1,113743
A_guard,class_map,1,1,107049
B_naive,class_map,1,1,98835
B_guard,class_map,1,1,98841
C,class_map,1,1,128059
C_native,block_map,1,1,363722
A_all,block_map,1,1,384543
A_guard,block_map,1,1,464663
B_naive,block_map,1,1,1305745
B_guard,block_map,1,1,923837
C,block_map,1,1,994419
C_native,browser,1,1,615317
A_all,browser,1,1,514487
A_guard,browser,1,1,393577
B_naive,browser,1,1,449842
B_guard,browser,1,1,318299
C,browser,1,1,225621
A_all,constant,2,40,77764
A_guard,constant,2,40,93605
B_naive,constant,2,40,21115
B_guard,constant,2,40,23828
C,constant,2,40,118360
C_native,constant,2,40,93903
A_all,getter,2,8,105575
A_guard,getter,2,8,87049
B_naive,getter,2,8,83777
B_guard,getter,2,8,91624
C,getter,2,8,78554
C_native,getter,2,8,70078
A_all,arithmetic,2,8,90908
A_guard,arithmetic,2,8,83669
B_naive,arithmetic,2,8,81249
B_guard,arithmetic,2,8,66728
C,arithmetic,2,8,64545
C_native,arithmetic,2,8,70806
A_all,nested,2,15,63377
A_guard,nested,2,15,81028
B_naive,nested,2,15,71322
B_guard,nested,2,15,67204
C,nested,2,15,93787
C_native,nested,2,15,136062
A_all,class_map,2,1,161311
A_guard,class_map,2,1,126126
B_naive,class_map,2,1,107427
B_guard,class_map,2,1,86451
C,class_map,2,1,109874
C_native,class_map,2,1,120605
A_all,block_map,2,1,597628
A_guard,block_map,2,1,425642
B_naive,block_map,2,1,519421
B_guard,block_map,2,1,338982
C,block_map,2,1,421894
C_native,block_map,2,1,348923
A_all,browser,2,1,155752
A_guard,browser,2,1,152719
B_naive,browser,2,1,172897
B_guard,browser,2,1,177455
C,browser,2,1,157493
C_native,browser,2,1,159090
A_guard,constant,3,40,54811
B_naive,constant,3,40,17265
B_guard,constant,3,40,18246
C,constant,3,40,66433
C_native,constant,3,40,71041
A_all,constant,3,40,50142
A_guard,getter,3,8,53881
B_naive,getter,3,8,48970
B_guard,getter,3,8,48597
C,getter,3,8,57909
C_native,getter,3,8,54277
A_all,getter,3,8,51442
A_guard,arithmetic,3,8,65780
B_naive,arithmetic,3,8,55548
B_guard,arithmetic,3,8,57971
C,arithmetic,3,8,64352
C_native,arithmetic,3,8,64270
A_all,arithmetic,3,8,62376
A_guard,nested,3,15,70323
B_naive,nested,3,15,57423
B_guard,nested,3,15,57590
C,nested,3,15,80907
C_native,nested,3,15,78539
A_all,nested,3,15,61784
A_guard,class_map,3,1,97936
B_naive,class_map,3,1,85625
B_guard,class_map,3,1,83536
C,class_map,3,1,101596
C_native,class_map,3,1,90765
A_all,class_map,3,1,78794
A_guard,block_map,3,1,302483
